Timestamp,Region,Sample,RTT_ms,Download_s,Throughput_Mbps
2026-05-30T13:24:49.038499,France,1,94.11,3.53,22.66
2026-05-30T13:24:56.518442,France,2,91.9,3.4282,23.34
2026-05-30T13:25:02.959477,France,3,114.22,2.9209,27.39
2026-05-30T13:25:10.767913,France,4,102.31,3.7293,21.45
2026-05-30T13:25:17.815384,France,5,105.75,3.2535,24.59
2026-05-30T13:25:27.891139,France,6,92.37,6.304,12.69
2026-05-30T13:25:35.835236,France,7,113.91,3.8613,20.72
2026-05-30T13:25:43.428126,France,8,100.82,3.6648,21.83
2026-05-30T13:25:50.527682,France,9,95.2,3.3785,23.68
2026-05-30T13:25:58.551178,France,10,96.76,4.0177,19.91
2026-05-30T13:26:05.604343,France,11,112.15,3.4898,22.92
2026-05-30T13:26:12.657488,France,12,109.57,3.3984,23.54
2026-05-30T13:26:18.870809,France,13,91.63,3.0389,26.33
2026-05-30T13:26:25.792076,France,14,87.38,3.4426,23.24
2026-05-30T13:26:33.083624,France,15,120.46,3.4882,22.93
2026-05-30T13:26:40.450176,France,16,121.92,3.4821,22.97
2026-05-30T13:26:47.575094,France,17,88.61,3.7133,21.54
2026-05-30T13:26:57.345325,France,18,76.38,5.7503,13.91
2026-05-30T13:27:05.627969,France,19,99.9,4.6224,17.31
2026-05-30T13:27:13.207632,France,20,103.99,4.0237,19.88
2026-05-30T13:27:20.971388,France,21,79.59,4.0379,19.81
2026-05-30T13:27:28.728035,France,22,103.18,3.5088,22.8
2026-05-30T13:27:37.219533,France,23,105.1,3.6034,22.2
2026-05-30T13:27:46.278579,France,24,90.2,4.8585,16.47
2026-05-30T13:27:53.243457,France,25,97.2,3.1651,25.28
2026-05-30T13:28:00.970196,France,26,104.94,4.3272,18.49
2026-05-30T13:28:07.564397,France,27,100.17,3.1168,25.67
2026-05-30T13:28:14.444493,France,28,82.32,3.4686,23.06
2026-05-30T13:28:23.514619,France,29,96.82,4.7529,16.83
2026-05-30T13:28:32.411616,France,30,76.7,4.3031,18.59
2026-05-30T13:29:03.095192,Canada,1,318.28,5.9443,13.46
2026-05-30T13:29:17.311793,Canada,2,406.73,6.7206,11.9
2026-05-30T13:29:29.524307,Canada,3,230.6,5.5157,14.5
2026-05-30T13:29:45.479646,Canada,4,391.41,7.1965,11.12
2026-05-30T13:30:00.732439,Canada,5,419.69,6.8928,11.61
2026-05-30T13:30:17.633212,Canada,6,419.14,9.5064,8.42
2026-05-30T13:30:32.282399,Canada,7,307.98,8.5776,9.33
2026-05-30T13:30:44.784806,Canada,8,176.69,5.8124,13.76
2026-05-30T13:30:57.104514,Canada,9,398.4,7.4944,10.67
2026-05-30T13:31:11.599497,Canada,10,269.8,7.0132,11.41
2026-05-30T13:31:28.896161,Canada,11,424.11,8.5782,9.33
2026-05-30T13:31:42.877632,Canada,12,174.03,7.3035,10.95
2026-05-30T13:31:57.152311,Canada,13,196.04,7.5052,10.66
2026-05-30T13:32:08.947011,Canada,14,418.02,5.1879,15.42
2026-05-30T13:32:21.826464,Canada,15,1019.73,7.5062,10.66
2026-05-30T13:32:35.871972,Canada,16,323.51,6.907,11.58
2026-05-30T13:32:47.528507,Canada,17,443.53,4.1163,19.43
2026-05-30T13:33:00.922138,Canada,18,423.99,5.9171,13.52
2026-05-30T13:33:17.534729,Canada,19,329.93,9.6535,8.29
2026-05-30T13:33:33.459672,Canada,20,441.19,6.9174,11.57
2026-05-30T13:33:48.346569,Canada,21,366.6,7.7178,10.37
2026-05-30T13:34:03.895719,Canada,22,433.59,7.6909,10.4
2026-05-30T13:34:19.224594,Canada,23,358.68,6.9741,11.47
2026-05-30T13:34:32.854511,Canada,24,403.52,6.4923,12.32
2026-05-30T13:34:48.316352,Canada,25,260.67,8.2939,9.65
2026-05-30T13:35:00.410850,Canada,26,205.68,7.0691,11.32
2026-05-30T13:35:15.309312,Canada,27,177.73,7.9214,10.1
2026-05-30T13:35:30.747155,Canada,28,301.06,8.9916,8.9
2026-05-30T13:35:44.318730,Canada,29,168.04,7.0642,11.32
2026-05-30T13:35:59.540193,Canada,30,394.34,7.3906,10.82
2026-05-30T13:36:56.775274,Singapore,1,306.32,9.6441,8.3
2026-05-30T13:37:15.695601,Singapore,2,247.97,9.7914,8.17
2026-05-30T13:37:45.227587,Singapore,3,435.52,17.3815,4.6
2026-05-30T13:38:11.896952,Singapore,4,524.68,13.5114,5.92
2026-05-30T13:38:42.068822,Singapore,5,441.5,10.4749,7.64
2026-05-30T13:39:07.693133,Singapore,6,382.97,9.4491,8.47
2026-05-30T13:39:34.104745,Singapore,7,457.63,10.1536,7.88
2026-05-30T13:39:59.553434,Singapore,8,360.25,15.3448,5.21
2026-05-30T13:40:27.499077,Singapore,9,352.31,11.7418,6.81
2026-05-30T13:40:45.235038,Singapore,10,415.79,7.8315,10.22
2026-05-30T13:41:05.130070,Singapore,11,439.85,11.0398,7.25
2026-05-30T13:41:25.565637,Singapore,12,345.23,7.7289,10.35
2026-05-30T13:41:53.704683,Singapore,13,345.88,11.2767,7.09
2026-05-30T13:42:18.941729,Singapore,14,326.72,16.0734,4.98
2026-05-30T13:42:52.086810,Singapore,15,412.49,23.0356,3.47
2026-05-30T13:43:25.066884,Singapore,16,411.99,16.721,4.78
2026-05-30T13:44:00.610935,Singapore,17,339.67,17.4175,4.59
2026-05-30T13:44:25.388023,Singapore,18,401.09,14.2406,5.62
2026-05-30T13:44:54.247264,Singapore,19,609.41,16.105,4.97
2026-05-30T13:45:30.295711,Singapore,20,491.51,15.6989,5.1
2026-05-30T13:45:49.572765,Singapore,21,508.94,11.3205,7.07
2026-05-30T13:46:41.566345,Singapore,22,491.96,40.5323,1.97
2026-05-30T13:47:07.523888,Singapore,23,387.68,13.3827,5.98
2026-05-30T13:47:32.908897,Singapore,24,458.03,9.6471,8.29
2026-05-30T13:47:55.412041,Singapore,25,465.51,7.153,11.18
2026-05-30T13:48:23.455479,Singapore,26,497.75,14.1939,5.64
2026-05-30T13:48:53.530067,Singapore,27,607.67,13.1072,6.1
2026-05-30T13:49:22.823787,Singapore,28,429.2,15.9584,5.01
2026-05-30T13:49:49.402129,Singapore,29,435.09,9.821,8.15
2026-05-30T13:50:09.165034,Singapore,30,476.22,10.3757,7.71
